ID,Posted at,Screen name,Text
526621399788814336,2014-10-27 06:28:20 +0000,bomberos,EMERGENCIA MEDICA Jr. 28 De Julio (1 De Julio) 408 Magdalena Del Mar AMB-83
526620643253813248,2014-10-27 06:25:20 +0000,bomberos,RESCATE Av. Felipe Santiago Salaverry 2500 San Isidro M36-1
526616865091911682,2014-10-27 06:10:19 +0000,bomberos,EMERGENCIA MEDICA Jr. Las Americas 219 Comas AMB-124
526614605888757760,2014-10-27 06:01:20 +0000,bomberos,EMERGENCIA MEDICA B 106 1031 Kaylin Villa Maria Del Triunfo AMB-106-1
526608560357376000,2014-10-27 05:37:19 +0000,bomberos,EMERGENCIA MEDICA Jr. Huanuco 221 Lima
526601768474804224,2014-10-27 05:10:20 +0000,bomberos,"MATERIALES PELIGROSOS (INCIDENTE) Cl. San Pedro De Carabayllo 644 Carabayllo M150-3,AMB-124"
526597267852394496,2014-10-27 04:52:27 +0000,bomberos,EMERGENCIA MEDICA Av. Jose Galvez 390 La Perla AMB-7
526593492773249025,2014-10-27 04:37:26 +0000,bomberos,EMERGENCIA MEDICA Pr. Lucanas (parinacochas) 663 La Victoria AMB-8
526592241230680064,2014-10-27 04:32:28 +0000,bomberos,EMERGENCIA MEDICA Av. Los Postes Este Urb. La Huayrona 573 San Juan De Lurigancho AMB-21
526590726134833152,2014-10-27 04:26:27 +0000,bomberos,EMERGENCIA MEDICA Cl. Rio Piura 601 San Luis AMB-127
526589723725537280,2014-10-27 04:22:28 +0000,bomberos,ACCIDENTE VEHICULAR Carreteras - Panamericanas Panamericana Norte 37.97 Santa Rosa
526588456760541184,2014-10-27 04:17:26 +0000,bomberos,INCENDIO Cl. Mariano Carranza 687 Lima
526587962805727233,2014-10-27 04:15:28 +0000,bomberos,EMERGENCIA MEDICA Pj. Manuel Medina Paredes Urb Delicias De Villa 000 Chorrillos AMB-13
526586706154496001,2014-10-27 04:10:28 +0000,bomberos,"ACCIDENTE VEHICULAR Jr. Juan De Arona Cruce Con Av. Abel Bergasse Du Petit Thouars San Isidro San Isidro MATPEL-4,AMB-202,RES-28"
526585690214387712,2014-10-27 04:06:26 +0000,bomberos,EMERGENCIA MEDICA Av. Tupac Amaru (las Azucenas) 346 San Juan De Lurigancho AMB-21
526584928650420225,2014-10-27 04:03:25 +0000,bomberos,EMERGENCIA MEDICA Jr. Americo Vespucio 296 San Miguel AMB-7
526584172903923712,2014-10-27 04:00:24 +0000,bomberos,EMERGENCIA MEDICA Jr. Los Olivos 298 AMB-65
526583923783262208,2014-10-27 03:59:25 +0000,bomberos,EMERGENCIA MEDICA Av. Manco Capac 1381 La Victoria AMB-4
526581904884396032,2014-10-27 03:51:24 +0000,bomberos,EMERGENCIA MEDICA Jr. Huanuco Cruce Con Jr. Ancash Lima Lima AMB-8
526580154332905473,2014-10-27 03:44:26 +0000,bomberos,ACCIDENTE VEHICULAR Carretera Paracas Pisco AMB-37
526579656980717569,2014-10-27 03:42:28 +0000,bomberos,EMERGENCIA MEDICA Av. Nicolas De Pierola (la Colmena) 800 Lima AMB-21
526577143200116736,2014-10-27 03:32:28 +0000,bomberos,EMERGENCIA MEDICA Av. Almirante Miguel Grau Seminario 2000 El Agustino AMB-8
526574872974327809,2014-10-27 03:23:27 +0000,bomberos,EMERGENCIA MEDICA Beatita De Hmay Pisco AMB-37
526572621316759552,2014-10-27 03:14:30 +0000,bomberos,MATERIALES PELIGROSOS (INCIDENTE) Av. Elmer Faucett Urb Las Fresas 5000 Callao M60-5
526571600913915904,2014-10-27 03:10:27 +0000,bomberos,EMERGENCIA MEDICA Jr. Saenz Pea 938 La Victoria AMB-8
526569093080829952,2014-10-27 03:00:29 +0000,bomberos,EMERGENCIA MEDICA Industrial Fabrica Celima San Juan De Lurigancho AMB-21
526568077853720576,2014-10-27 02:56:27 +0000,bomberos,EMERGENCIA MEDICA Cl. Fray Angelico 280 San Borja AMB-127
526567326741987328,2014-10-27 02:53:28 +0000,bomberos,EMERGENCIA MEDICA Av. Javier Prado Este Cruce Con Av. Ricardo Rivera Navarrete (las Magnolias) San Isidro San Isidro AMB-4
